"","newx","mle"
"187",-3.3345374329331,0
"188",-3.33095967719618,0
"189",-3.32738192145926,0
"190",-3.32380416572234,0
"191",-3.32022640998542,0
"192",-3.3166486542485,0
"193",-3.31307089851158,0
"194",-3.30949314277466,0
"195",-3.30591538703775,0
"196",-3.30233763130083,0
"197",-3.29875987556391,0
"198",-3.29518211982699,0
"199",-3.29160436409007,0
"200",-3.28802660835315,0
"201",-3.28444885261623,0
"202",-3.28087109687931,0
"203",-3.27729334114239,0
"204",-3.27371558540548,0
"205",-3.27013782966856,0
"206",-3.26656007393164,0
"207",-3.26298231819472,0
"208",-3.2594045624578,0
"209",-3.25582680672088,0
"210",-3.25224905098396,0
"211",-3.24867129524704,0
"212",-3.24509353951013,0
"213",-3.24151578377321,0
"214",-3.23793802803629,0
"215",-3.23436027229937,0
"216",-3.23078251656245,0
"217",-3.22720476082553,0
"218",-3.22362700508861,0
"219",-3.22004924935169,0
"220",-3.21647149361477,0
"221",-3.21289373787786,0
"222",-3.20931598214094,0
"223",-3.20573822640402,0
"224",-3.2021604706671,0
"225",-3.19858271493018,0
"226",-3.19500495919326,0
"227",-3.19142720345634,0
"228",-3.18784944771942,0
"229",-3.1842716919825,0
"230",-3.18069393624559,0
"231",-3.17711618050867,0
"232",-3.17353842477175,0
"233",-3.16996066903483,0
"234",-3.16638291329791,0
"235",-3.16280515756099,0
"236",-3.15922740182407,0
"237",-3.15564964608715,0
"238",-3.15207189035024,0
"239",-3.14849413461332,0
"240",-3.1449163788764,0
"241",-3.14133862313948,0
"242",-3.13776086740256,0
"243",-3.13418311166564,0
"244",-3.13060535592872,0
"245",-3.1270276001918,0
"246",-3.12344984445488,0
"247",-3.11987208871797,0
"248",-3.11629433298105,0
"249",-3.11271657724413,0
"250",-3.10913882150721,0
"251",-3.10556106577029,0
"252",-3.10198331003337,0
"253",-3.09840555429645,0
"254",-3.09482779855953,0
"255",-3.09125004282262,0
"256",-3.0876722870857,0
"257",-3.08409453134878,0
"258",-3.08051677561186,0
"259",-3.07693901987494,0
"260",-3.07336126413802,0
"261",-3.0697835084011,0
"262",-3.06620575266418,0
"263",-3.06262799692726,0
"264",-3.05905024119035,0
"265",-3.05547248545343,0
"266",-3.05189472971651,0
"267",-3.04831697397959,0
"268",-3.04473921824267,0
"269",-3.04116146250575,0
"270",-3.03758370676883,0
"271",-3.03400595103191,0
"272",-3.03042819529499,0
"273",-3.02685043955808,0
"274",-3.02327268382116,0
"275",-3.01969492808424,0
"276",-3.01611717234732,0
"277",-3.0125394166104,0
"278",-3.00896166087348,0
"279",-3.00538390513656,0
"280",-3.00180614939964,0
"281",-2.99822839366273,0
"282",-2.99465063792581,0
"283",-2.99107288218889,0
"284",-2.98749512645197,0
"285",-2.98391737071505,0
"286",-2.98033961497813,0
"287",-2.97676185924121,0
"288",-2.97318410350429,0
"289",-2.96960634776737,0
"290",-2.96602859203046,0
"291",-2.96245083629354,0
"292",-2.95887308055662,0
"293",-2.9552953248197,0
"294",-2.95171756908278,0
"295",-2.94813981334586,0
"296",-2.94456205760894,0
"297",-2.94098430187202,0
"298",-2.93740654613511,0
"299",-2.93382879039819,0
"300",-2.93025103466127,0
"301",-2.92667327892435,0
"302",-2.92309552318743,0
"303",-2.91951776745051,0
"304",-2.91594001171359,0
"305",-2.91236225597667,0
"306",-2.90878450023975,0
"307",-2.90520674450284,0
"308",-2.90162898876592,0
"309",-2.898051233029,0
"310",-2.89447347729208,0
"311",-2.89089572155516,0
"312",-2.88731796581824,0
"313",-2.88374021008132,0
"314",-2.8801624543444,0
"315",-2.87658469860749,0
"316",-2.87300694287057,0
"317",-2.86942918713365,0
"318",-2.86585143139673,0
"319",-2.86227367565981,0
"320",-2.85869591992289,0
"321",-2.85511816418597,0
"322",-2.85154040844905,0
"323",-2.84796265271213,0
"324",-2.84438489697522,0
"325",-2.8408071412383,0
"326",-2.83722938550138,0
"327",-2.83365162976446,0
"328",-2.83007387402754,0
"329",-2.82649611829062,0
"330",-2.8229183625537,0
"331",-2.81934060681678,0
"332",-2.81576285107986,0
"333",-2.81218509534295,0
"334",-2.80860733960603,0
"335",-2.80502958386911,0
"336",-2.80145182813219,0
"337",-2.79787407239527,0
"338",-2.79429631665835,0
"339",-2.79071856092143,0
"340",-2.78714080518451,0
"341",-2.7835630494476,0
"342",-2.77998529371068,0
"343",-2.77640753797376,0
"344",-2.77282978223684,0
"345",-2.76925202649992,0
"346",-2.765674270763,0
"347",-2.76209651502608,0
"348",-2.75851875928916,0
"349",-2.75494100355224,0
"350",-2.75136324781533,0
"351",-2.74778549207841,0
"352",-2.74420773634149,0
"353",-2.74062998060457,0
"354",-2.73705222486765,0
"355",-2.73347446913073,0
"356",-2.72989671339381,0
"357",-2.72631895765689,0
"358",-2.72274120191998,0
"359",-2.71916344618306,0
"360",-2.71558569044614,0
"361",-2.71200793470922,0
"362",-2.7084301789723,0
"363",-2.70485242323538,0
"364",-2.70127466749846,0
"365",-2.69769691176154,0
"366",-2.69411915602462,0
"367",-2.69054140028771,0
"368",-2.68696364455079,0
"369",-2.68338588881387,0
"370",-2.67980813307695,0
"371",-2.67623037734003,0
"372",-2.67265262160311,0
"373",-2.66907486586619,0
"374",-2.66549711012927,0
"375",-2.66191935439235,0
"376",-2.65834159865544,0
"377",-2.65476384291852,0
"378",-2.6511860871816,0
"379",-2.64760833144468,0
"380",-2.64403057570776,0
"381",-2.64045281997084,0
"382",-2.63687506423392,0
"383",-2.633297308497,0
"384",-2.62971955276009,0
"385",-2.62614179702317,0
"386",-2.62256404128625,0
